document_id_a,document_id_b,relation,confidence,evidence_note
springer:10.1134_S1064229319010022,pochvovedenie:Pochved1901002Gerasimova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=32–42; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010034,pochvovedenie:Pochved1901003Golubtsov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=97–108; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010046,pochvovedenie:Pochved1901004Goryachkin,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=5–19; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010058,pochvovedenie:Pochved1901005Gusev,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=3, pages=348–354; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S106422931901006X,pochvovedenie:Pochved1901006IvanovI,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=61–69; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010071,pochvovedenie:Pochved1901007IvanovII,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=122–128; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010083,pochvovedenie:Pochved1901008Khitrov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=79–96; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010095,pochvovedenie:Pochved1901009Kudeyarov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=109–121; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010101,pochvovedenie:Pochved1901010Maslov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=70–78; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010113,pochvovedenie:Pochved1901011Pampura,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=43–60; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010125,pochvovedenie:Pochved1901012Rukhovich,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=3, pages=304–316; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010137,pochvovedenie:Pochved1901013Semenov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=3, pages=355–369; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010149,pochvovedenie:Pochved1901014Smirnova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=1, pages=20–31; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319010150,pochvovedenie:Pochved1901016Vasilevich,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=3, pages=317–329; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319020029,pochvovedenie:Pochved1902002Arkhangelskaya,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=2, pages=204–211; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319020030,pochvovedenie:Pochved1902003Bolotov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=2, pages=212–219; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319020042,pochvovedenie:Pochved1902004Dubovik,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=2, pages=171–183; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
