doi,publication_year,title,journal,authors,metadata_source
10.1134/S1064229313080085,2013,Soils and the soil cover of the taiga zone in the northern Urals (upper reaches of the Pechora River),Eurasian Soil Science,Semikolennykh A. A.; Bovkunov A. D.; Aleinikov A. A.,Crossref REST API
10.1134/S1064229314030028,2014,Transformation of microbial cenoses in soils of light coniferous forests caused by cuttings and fires in the Lower Angara River basin,Eurasian Soil Science,Bogorodskaya A. V.; Kukavskaya E. A.; Ivanova G. A.,Crossref REST API
10.1134/S1064229314090063,2014,Vertisols and vertic soils of the middle and lower Volga regions,Eurasian Soil Science,Khitrov N. B.; Rogovneva L. V.,Crossref REST API
10.1134/S1064229315020106,2015,Specific features of the genesis of automorphic soils of the northern forest-tundra (southeast of the Bol’shezemel’skaya tundra),Eurasian Soil Science,Rusanova G. V.; Deneva S. V.; Shakhtarova O. V.,Crossref REST API
10.1134/S1064229315060046,2015,Soils of the southwestern part of the Dzhulukul Depression in the Altai Republic,Eurasian Soil Science,Gopp N. V.,Crossref REST API
10.1134/S1064229315060071,2015,Secondary successions of biota in oil-polluted peat soil upon different biological remediation methods,Eurasian Soil Science,Melekhina E. N.; Markarova M. Yu.; Shchemelinina T. N.; Anchugova E. M.; Kanev V. A.,Crossref REST API
10.1134/S1064229315070042,2015,The geography of Vertisols and Vertic soils in the Kuban-Azov Lowland,Eurasian Soil Science,Khitrov N. B.; Vlasenko V. P.; Rukhovich D. I.; Bryzzhev A. V.; Kalinina N. V.; Rogovneva L. V.,Crossref REST API
10.1134/S1064229315100038,2015,Temperature regimes of northern taiga soils in the isolated permafrost zone of Western Siberia,Eurasian Soil Science,Goncharova O. Yu.; Matyshak G. V.; Bobrik A. A.; Moskalenko N. G.; Ponomareva O. E.,Crossref REST API
10.1134/S1064229315110101,2015,Distribution of oribatid mites (Acari: Oribatida) along an altitudinal profile of Mount Vud’yavrchorr (the Khibiny Mountains),Eurasian Soil Science,Leonov V. D.; Rakhleeva A. A.; Sidorchuk E. A.,Crossref REST API
10.1134/S1064229316040116,2016,Experimental studies and physically substantiated model of carbon dioxide emission from the exposed cultural layer of Velikii Novgorod,Eurasian Soil Science,Smagin A. V.; Dolgikh A. V.; Karelin D. V.,Crossref REST API
10.1134/S1064229316100033,2016,Thermal properties of typical chernozems in Kursk Oblast,Eurasian Soil Science,Arkhangel’skaya T. A.; Velichenko M. V.; Tikhonravova P. I.,Crossref REST API
10.1134/S1064229316110053,2016,Factors and mechanisms of soil salinization under vineyards of southern Taman,Eurasian Soil Science,Khitrov N. B.; Chernikov E. A.; Popova V. P.; Fomenko T. G.,Crossref REST API
10.1134/S1064229316120097,2016,"Morphology, properties, and regimes of migrational–mycelial agrochernozems with different ground moistening (Belgorod oblast)",Eurasian Soil Science,Lebedeva I. I.; Bazykina G. S.; Grebennikov A. M.; Smirnova L. G.; Tyutyunov S. I.,Crossref REST API
10.1134/S1064229317060035,2017,Salt-affected soils of the Barguzin Depression,Eurasian Soil Science,Chernousenko G. I.; Pankova E. I.; Kalinina N. V.; Ubugunova V. I.; Rukhovich D. I.; Ubugunov V. L.; Tsyrempilov E. G.,Crossref REST API
10.1134/S1064229317110047,2017,Soil salinization in different natural zones of intermontane depressions in Tuva,Eurasian Soil Science,Chernousenko G. I.; Kurbatskaya S. S.,Crossref REST API
10.1134/S1064229317110102,2017,Acidity in organic horizons of arctic soils on the Barents Sea coast,Eurasian Soil Science,Shamrikova E. V.; Deneva S. V.; Kubik O. S.; Punegov V. V.; Kyz”yurova E. V.; Bobrova Yu. I.; Zueva O. M.,Crossref REST API
10.1134/S1064229317120043,2017,"Radioactive Contamination of Alluvial Soils in the Taiga Landscapes of Yakutia with 137Cs, 226Ra, and 238U",Eurasian Soil Science,Chevychelov A. P.; Sobakin P. I.,Crossref REST API
10.1134/S1064229318020023,2018,Postpyrogenic Polycyclic Soils in the Forests of Yakutia and Transbaikal region,Eurasian Soil Science,Chevychelov A. P.; Shakhmatova E. Y.,Crossref REST API
10.1134/S1064229318020059,2018,Soils of the Southwestern Part of the Pacific Coast of Russia,Eurasian Soil Science,Kostenkov N. M.; Zharikova E. A.,Crossref REST API
10.1134/S1064229318020102,2018,The Impact of Multiple Freeze–Thaw Cycles on the Microstructure of Aggregates from a Soddy-Podzolic Soil: A Microtomographic Analysis,Eurasian Soil Science,Skvortsova E. B.; Shein E. V.; Abrosimov K. N.; Romanenko K. A.; Yudina A. V.; Klyueva V. V.; Khaidapova D. D.; Rogov V. V.,Crossref REST API
10.1134/S106422931802014X,2018,Effect of Contrasting Trophic Conditions on the Priming Effect in Gray Forest Soils,Eurasian Soil Science,Zhuravleva A. I.; Alifanov V. M.; Blagodatskaya E. V.,Crossref REST API
10.1134/S1064229318030109,2018,The Influence of Edaphic and Orographic Factors on Algal Diversity in Biological Soil Crusts on Bare Spots in the Polar and Subpolar Urals,Eurasian Soil Science,Patova E. N.; Novakovskaya I. V.; Deneva S. V.,Crossref REST API
10.1134/S1064229318040129,2018,Soils and Vegetation of the Khaipudyr Bay Coast of the Barents Sea,Eurasian Soil Science,Shamrikova E. V.; Deneva S. V.; Panyukov A. N.; Kubik O. S.,Crossref REST API
10.1134/S1064229318070050,2018,"Morphology, Radiocarbon Age, and Genesis of Vertisols of the Eisk Peninsula (the Kuban–Azov Lowland)",Eurasian Soil Science,Khitrov N. B.; Zazovskaya E. P.; Rogovneva L. V.,Crossref REST API
10.1134/S1064229318120025,2018,Eco-Geochemical Assessment of the Content of Pollutants in Hummocky Bogs of the Kola Peninsula,Eurasian Soil Science,Barkan V. Sh.; Lyanguzova I. V.,Crossref REST API
10.1134/S1064229318120049,2018,"Contemporary Trend in Erosion of Arable Ordinary Chernozems (Haplic Chernozems (Pachic)) within the Volga Upland (Saratov Oblast, Russia)",Eurasian Soil Science,Gusarov A. V.; Sharifullin A. G.; Golosov V. N.,Crossref REST API
10.1134/S1064229319020121,2019,Influence of Water Content and Temperature on the Dielectric and Radio-Emitting Properties of the Salt Crust of Puffy Solonchak,Eurasian Soil Science,Romanov A. N.,Crossref REST API
