measurement_id,analysis_tier,corpus,document_id,doi,site_id,latitude,longitude,property_id,property_russian,property,category_russian,category,value_num,value_text,unit_raw,unit_normalized,canonical_unit,normalization_status,qa_status,profile_label,horizon_label,depth_top_cm,depth_bottom_cm,method_raw,evidence_path,evidence_locator
measurement:table_single_reported_20260719:41e1c5cf968b3450abab,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901011Pampura,,site:pochvovedenie:Pochved1901011Pampura:text:raw:ru_abbr:dms:0,49.0,44.18333333333333,organic_matter,органическое вещество (гумус),organic matter/humus,органическое вещество и углерод,organic,1.41,,%,%,%,source_unit_already_canonical,flagged,OCR table profile,,,,,Pochved1901011Pampura_p006_t03.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901011Pampura:table_json:Pochved1901011Pampura_p006_t03:split-header:pochvovedenie:Pochved1901011Pampura:table_json:Pochved1901011Pampura_p006_t02:r2:c1"", ""row_index"": 2, ""column_index"": 1, ""header"": ""Гумус, %"", ""row_label"": ""ВСса, 33–52"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:a26c96d4c70a7bbc4457,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901011Pampura,,site:pochvovedenie:Pochved1901011Pampura:text:raw:ru_abbr:dms:0,49.0,44.18333333333333,organic_matter,органическое вещество (гумус),organic matter/humus,органическое вещество и углерод,organic,1.84,,%,%,%,source_unit_already_canonical,flagged,OCR table profile,,,,,Pochved1901011Pampura_p006_t03.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901011Pampura:table_json:Pochved1901011Pampura_p006_t03:split-header:pochvovedenie:Pochved1901011Pampura:table_json:Pochved1901011Pampura_p006_t02:r0:c1"", ""row_index"": 0, ""column_index"": 1, ""header"": ""Гумус, %"", ""row_label"": ""Ад, 0–6"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:a46ebec8e9995438c553,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901011Pampura,,site:pochvovedenie:Pochved1901011Pampura:text:raw:ru_abbr:dms:0,49.0,44.18333333333333,organic_matter,органическое вещество (гумус),organic matter/humus,органическое вещество и углерод,organic,1.97,,%,%,%,source_unit_already_canonical,flagged,OCR table profile,,,,,Pochved1901011Pampura_p006_t03.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901011Pampura:table_json:Pochved1901011Pampura_p006_t03:split-header:pochvovedenie:Pochved1901011Pampura:table_json:Pochved1901011Pampura_p006_t02:r1:c1"", ""row_index"": 1, ""column_index"": 1, ""header"": ""Гумус, %"", ""row_label"": ""Апах, 6–33"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:2248bba0027c49f89c71,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901016Vasilevich,,site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,67.05,62.93333333333333,ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,4.24,,pH,pH,pH,source_unit_already_canonical,flagged,OCR table profile,,40.0,60.0,,Pochved1901016Vasilevich_p003_t02.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t02:split-header:pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t01:r3:c4"", ""row_index"": 3, ""column_index"": 4, ""header"": ""pH водный"", ""row_label"": ""40–60 | Гипново-осоковый Н | 30–50"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:2e1644aa0818a300256c,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901016Vasilevich,,site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,67.05,62.93333333333333,ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,3.66,,pH,pH,pH,source_unit_already_canonical,flagged,OCR table profile,,20.0,40.0,,Pochved1901016Vasilevich_p003_t02.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t02:split-header:pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t01:r2:c4"", ""row_index"": 2, ""column_index"": 4, ""header"": ""pH водный"", ""row_label"": ""20–40 | Осоковый Н | 30–35"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:603dc531aab37f5637a0,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901016Vasilevich,,site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,67.05,62.93333333333333,ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,5.05,,pH,pH,pH,source_unit_already_canonical,flagged,OCR table profile,,60.0,80.0,,Pochved1901016Vasilevich_p003_t02.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t02:split-header:pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t01:r4:c4"", ""row_index"": 4, ""column_index"": 4, ""header"": ""pH водный"", ""row_label"": ""60–80 | Кустарничково-осоковый Н мерзлый | 35–40"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:6b7294a3057074001a97,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901016Vasilevich,,site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,67.05,62.93333333333333,ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,5.51,,pH,pH,pH,source_unit_already_canonical,flagged,OCR table profile,,175.0,200.0,,Pochved1901016Vasilevich_p003_t02.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t02:split-header:pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t01:r8:c4"", ""row_index"": 8, ""column_index"": 4, ""header"": ""pH водный"", ""row_label"": ""175–200 | Хвощово-древесный Н мерзлый | Более 50 | –"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:7356c2f115442ef3dfc2,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901016Vasilevich,,site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,67.05,62.93333333333333,ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,3.42,,pH,pH,pH,source_unit_already_canonical,flagged,OCR table profile,,5.0,20.0,,Pochved1901016Vasilevich_p003_t02.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t02:split-header:pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t01:r1:c4"", ""row_index"": 1, ""column_index"": 4, ""header"": ""pH водный"", ""row_label"": ""5–20 | Переходный (П) кустарничковопушицевый | 40–45"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:af0ebf580f76cc35e1a7,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901016Vasilevich,,site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,67.05,62.93333333333333,ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,5.0,,pH,pH,pH,source_unit_already_canonical,flagged,OCR table profile,,80.0,100.0,,Pochved1901016Vasilevich_p003_t02.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t02:split-header:pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t01:r5:c4"", ""row_index"": 5, ""column_index"": 4, ""header"": ""pH водный"", ""row_label"": ""80–100 | Осоковый Н мерзлый"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
measurement:table_single_reported_20260719:c199d54725df22be2df9,supported_document_single_reported_coordinate,pochvovedenie,pochvovedenie:Pochved1901016Vasilevich,,site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,67.05,62.93333333333333,ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,3.61,,pH,pH,pH,source_unit_already_canonical,flagged,OCR table profile,,0.0,5.0,,Pochved1901016Vasilevich_p003_t02.json,"{""table_candidate_id"": ""pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t02:split-header:pochvovedenie:Pochved1901016Vasilevich:table_json:Pochved1901016Vasilevich_p003_t01:r0:c4"", ""row_index"": 0, ""column_index"": 4, ""header"": ""pH водный"", ""row_label"": ""0–5 | Верховой (В) политриховый | 20–25"", ""spatial_linkage"": ""document_single_reported_coordinate""}"
