profile_id,site_id,latitude,longitude,spatial_confidence,corpus,document_id,title,doi,publication_year,profile_label,author_soil_type_raw,author_profile_formula_raw,soil_classification,classification_system,land_use,notes,evidence_text,evidence_path
profile:coordinate_first_label:180236e944a570f2a12e,site:pochvovedenie:Pochved1906012Taskaeva:text:raw:dms:l:0,67.43416666666667,63.82638888888889,reported,pochvovedenie,pochvovedenie:Pochved1906012Taskaeva,ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД,,2019,4,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1906012Taskaeva:text:raw:dms:l:0"", ""label_distance_characters"": 164}
 мхи. Кустистые и листоватые лишайники встречаются преимущественно небольшими пятнами на бу- горках. Почва – глеезем криометаморфический (Folic Stagnosol (Gelic)). Участок 4. Кустарничковая мохово-лишайни- ковая тундра (67°26′03″ N, 63°49′35″ E) располага- ется на относительно выровненной первой над- пойменной террасе р. Воркута. Микрорельеф представлен в виде небольших торфяных кочек и понижений. Проективное покрытие травянисто- кустарничкового яруса 40–50%. В сообществе обычно несколько содоминант",Pochved1906012Taskaeva.txt
profile:coordinate_first_label:6a8f7ce31d219cde0659,site:pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:1,67.53333333333333,64.03333333333333,reported,pochvovedenie,pochvovedenie:Pochved1906012Taskaeva,ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД,,2019,2,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:1"", ""label_distance_characters"": 196}
борка урожая прекратились. Поч- ва – дерново-луговая (Mollic Stagnosol (Siltic, Gelic)), поверхность почвы покрыта уплотнен- ным слоем слаборазложившегося растительного материала толщиной 2–3 см. Участок 2. Разнотравно-злаковое сообщество (67°32′ N, 64°02′ E) расположено в пределах пра- вобережной пойменной террасы р. Воркута. В травостое доминирующее положение занимают кострец безостый (Bromopus inermis) и виды раз- нотравья: вероника длиннолистная (Veronica lon- gifolia), толстореберник альпийский (Pachipleurum alpinum), дудник лекарственный (Angelica archan- lelica) и ",Pochved1906012Taskaeva.txt
profile:coordinate_first_label:6cc3cea63e7364e09aa6,site:pochvovedenie:Pochved1909002Chimitdorzhiev:text:raw:dms:l:0,52.53830555555555,111.03869444444445,reported,pochvovedenie,pochvovedenie:Pochved1909002Chimitdorzhiev,ПОЧВОВЕДЕНИЕ,,2019,2,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1909002Chimitdorzhiev:text:raw:dms:l:0"", ""label_distance_characters"": 171}
елый суглинок, мокрый, плотный, очень слабо вскипает, каменистый, камни более 1 см. Почва: чернозем квазиглеевый, Calcaric Stag- nic Phaeozem (Loamic). Экспериментальная  площадка  2  (ЭП2, рис. 4, В, 4, Г). Разр. Б4Р2. 52°32′17.9″ N, 111°2′19.3″ E, H 955 м. Вершина бугра. Проективное покрытие 80%, до- минанты: злаки – вострец китайский (Leymus chinensis), мятлик оттянутый (Poa attenuata). АU, 0–30 см. Темно-серый, сухой, рыхлый, опесчаненный средний суглинок, комковатой структуры, густо пронизан корням",Pochved1909002Chimitdorzhiev.txt
profile:coordinate_first_label:b0f92e865837d949cedf,site:pochvovedenie:Pochved1911003Desyatkin:text:raw:degree_decimal_minutes_cardinal:2,62.13333333333333,130.41666666666666,reported,pochvovedenie,pochvovedenie:Pochved1911003Desyatkin,ВЛИЯНИЕ УВЕЛИЧЕНИЯ ГЛУБИНЫ ДЕЯТЕЛЬНОГО СЛОЯ ПОЧВЫ,,2019,3,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1911003Desyatkin:text:raw:degree_decimal_minutes_cardinal:2"", ""label_distance_characters"": 258}
ит до 20. Почва пале- вая слабоосолоделая среднесуглинистая (Haplic Cryosol (Loamic, Ochric)) с формулой морфологи- ческого строения профиля: О1(0–2 см)–АJ(2– 9 см)–AJe(9–15 см)–BPL(15–43 см)–BCA(43– 68 см)–Сca(68–88 см), залегает на слабольдистой мерзлоте. Точка 3 – координаты: 62°08′ N, 130°25′ E. Ре- льеф ровный. Сомкнутость крон 0.6. Доминирует Betula platyphylla Sukacz., высота до 8–10 м. В под- леске обычны Salix bebbiana Sarg., Rosa acicularis Lindl., Ribes acidum Turcz. В травостое обильны Bromus ircutensis Kom., Poa pratensis L., Carex pedi- formis C.A. Mey, Sanguisorba officinalis L., Gallium verum L., Artemisia tanacetifolia L. Обычны такие виды, как Geranium ",Pochved1911003Desyatkin.txt
profile:coordinate_first_label:b7b7f75f1663c6fa448e,site:pochvovedenie:Pochved1911003Desyatkin:text:raw:ru_abbr:dms:1,62.11666666666667,130.3,reported,pochvovedenie,pochvovedenie:Pochved1911003Desyatkin,ВЛИЯНИЕ УВЕЛИЧЕНИЯ ГЛУБИНЫ ДЕЯТЕЛЬНОГО СЛОЯ ПОЧВЫ,,2019,2,,,Podzol,WRB,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1911003Desyatkin:text:raw:degree_decimal_minutes_cardinal:1"", ""label_distance_characters"": 258}
ации и ди- агностики почв Роcсии [14]. Почва подбур опод- золенный супесчаный (Entic Podzol (Arenic, Gelic)) с формулой морфологического строения профиля: О(0–1 см)–А(1–6 см)–BHFe(6–27 см)–BHF(27– 53 см)–C(53–150 см). Ниже залегает слабольди- стая мерзлота. Точка 2 – координаты: 62°07′ N, 130°18′ E. Ре- льеф ровный. Растительность – багульниково- брусничный лиственничник. Основная лесооб- разующая порода – Larix gmelinii L., сопутствует Betula platyphylla Sukacz. Сомкнутость крон 0.7, высота пород древесного яруса 15–20 м. Подле- сок развит слабо, состоит из Rosa acicularis Lindl., Spiraea flexuosa Fisch. В травяно-кустарничковом покрове (покрытие 60%, средняя высота 25–",Pochved1911003Desyatkin.txt
profile:coordinate_first_label:b8e2015b848da78b6c4b,site:pochvovedenie:Pochved1909002Chimitdorzhiev:text:raw:strict:l:0,52.53853,111.45755,reported,pochvovedenie,pochvovedenie:Pochved1909002Chimitdorzhiev,ПОЧВОВЕДЕНИЕ,,2019,1,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1909002Chimitdorzhiev:text:raw:strict:l:0"", ""label_distance_characters"": 174}
о- доразделах. При наземном исследовании деформаций по- верхности рельефа выбраны экспериментальные площадки, на которых были заложены почвен- ные разрезы. Экспериментальная площадка 1 (ЭП1, рис. 4, А, 4, Б) Разр. Б1Р3. 52.53853° N, 111.45755° E, высота над ур. м. (H) 950 м. Вершина бугра пучения. Расти- тельный покров представлен полынно-разнотрав- но-лапчатковой ассоциацией. Доминантные виды: лапчатка скученная (Potentilla acervata Sojak), пы- рей ползучий (Elytrigia repens L. Nevski), вика мы- шин",Pochved1909002Chimitdorzhiev.txt
profile:coordinate_first_label:c46e9461819b790e39ae,site:pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:2,67.41666666666667,63.833333333333336,reported,pochvovedenie,pochvovedenie:Pochved1906012Taskaeva,ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД,,2019,3,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1906012Taskaeva:text:raw:ru_abbr:dms:2"", ""label_distance_characters"": 183}
сообществом формируется аллювиальная гумусовая глееватая постагрогенная почва (Gleyic Fluvisol (Arenic, Humic)).  ПОЧВОВЕДЕНИЕ   № 6   2019 ХАРАКТЕРИСТИКА СООБЩЕСТВ МИКРОАРТРОПОД 713 Участок 3. Мелкоерниковая кустарничково- моховая тундра (67°25′ N, 63°50′ E) находится в долине р. Воркута в пределах второй надпоймен- ной террасы, полого наклонной в сторону русла реки. Микрорельеф умеренно выражен, пред- ставлен, в основном, моховыми кочками вокруг кустов, местами встречаются пятна выморажива- ния. Кустарниковый ярус образуют Betula nana при участии Salix lanata и Salix ph",Pochved1906012Taskaeva.txt
profile:coordinate_first_label:d48d1717d7cf5217a058,site:pochvovedenie:Pochved1911003Desyatkin:text:raw:ru_abbr:dms:3,62.13333333333333,130.51666666666668,reported,pochvovedenie,pochvovedenie:Pochved1911003Desyatkin,ВЛИЯНИЕ УВЕЛИЧЕНИЯ ГЛУБИНЫ ДЕЯТЕЛЬНОГО СЛОЯ ПОЧВЫ,,2019,4,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1911003Desyatkin:text:raw:ru_abbr:dms:3"", ""label_distance_characters"": 218}
 Achille amillefolium L. Почва палевая типичная среднесуглинистая (Haplic Cryosol (Loamic)) с формулой морфоло- гического строения профиля: АJ(1–5 см)– BPL(5–35 см)–ВСA(35–72 см), залегает на сла- больдистой мерзлоте. Точка 4 – координаты: 62°08′ N, 130°31′ E, 100 м южнее аласа Улахан Сыххан. Рельеф ровный, по- верхность почвы имеет полигонально-трещино- ватый нанорельеф. Диаметр полигонов до 70 см, высота 10–15 см, ширина трещин до 20 см. Расти- тельность: лиственничник багульниково-брус- ничный зеленомошно-ягельниковый. Первый ярус представлен Larix gmelinii Ledeb., сомк",Pochved1911003Desyatkin.txt
profile:coordinate_first_label:e6bc615c1199c3739058,site:pochvovedenie:Pochved1911003Desyatkin:text:raw:degree_decimal_minutes_cardinal:2,62.13333333333333,130.41666666666666,reported,pochvovedenie,pochvovedenie:Pochved1911003Desyatkin,ВЛИЯНИЕ УВЕЛИЧЕНИЯ ГЛУБИНЫ ДЕЯТЕЛЬНОГО СЛОЯ ПОЧВЫ,,2019,3,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1911003Desyatkin:text:raw:degree_decimal_minutes:2"", ""label_distance_characters"": 258}
ит до 20. Почва пале- вая слабоосолоделая среднесуглинистая (Haplic Cryosol (Loamic, Ochric)) с формулой морфологи- ческого строения профиля: О1(0–2 см)–АJ(2– 9 см)–AJe(9–15 см)–BPL(15–43 см)–BCA(43– 68 см)–Сca(68–88 см), залегает на слабольдистой мерзлоте. Точка 3 – координаты: 62°08′ N, 130°25′ E. Ре- льеф ровный. Сомкнутость крон 0.6. Доминирует Betula platyphylla Sukacz., высота до 8–10 м. В под- леске обычны Salix bebbiana Sarg., Rosa acicularis Lindl., Ribes acidum Turcz. В травостое обильны Bromus ircutensis Kom., Poa pratensis L., Carex pedi- formis C.A. Mey, Sanguisorba officinalis L., Gallium verum L., Artemisia tanacetifolia L. Обычны такие виды, как Geranium ",Pochved1911003Desyatkin.txt
profile:coordinate_first_label:e9c35a6d498ab6626d1d,site:pochvovedenie:Pochved1911003Desyatkin:text:raw:ru_abbr:dms:3,62.13333333333333,130.51666666666668,reported,pochvovedenie,pochvovedenie:Pochved1911003Desyatkin,ВЛИЯНИЕ УВЕЛИЧЕНИЯ ГЛУБИНЫ ДЕЯТЕЛЬНОГО СЛОЯ ПОЧВЫ,,2019,4,,,Cryosol,WRB,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""pochvovedenie:Pochved1911003Desyatkin:text:raw:degree_decimal_minutes_cardinal:3"", ""label_distance_characters"": 258}
us humilis Fisch., Vicica amoena Fisch., Achille amillefolium L. Почва палевая типичная среднесуглинистая (Haplic Cryosol (Loamic)) с формулой морфоло- гического строения профиля: АJ(1–5 см)– BPL(5–35 см)–ВСA(35–72 см), залегает на сла- больдистой мерзлоте. Точка 4 – координаты: 62°08′ N, 130°31′ E, 100 м южнее аласа Улахан Сыххан. Рельеф ровный, по- верхность почвы имеет полигонально-трещино- ватый нанорельеф. Диаметр полигонов до 70 см, высота 10–15 см, ширина трещин до 20 см. Расти- тельность: лиственничник багульниково-брус- ничный зеленомошно-ягельниковый. Первый ярус представлен Larix gmelinii Ledeb., сомкну- тость крон 0.8–0.9, высота деревьев 8–10 м. На- почвенны",Pochved1911003Desyatkin.txt
