property_id,property,property_ru,category,category_ru,observations,documents,unit_proven_pct,header_trusted_pct,value_plausible_pct,with_depth_pct,with_spatial_pct,unit_mode,median,p25,p75,n_metric
organic_matter,organic matter/humus,органическое вещество (гумус),organic,органическое вещество и углерод,5717,304,61.3,100.0,98.3,36.0,77.7,%,3.1,1.361,4.8,3475
ph_h2o,pH in water,pH водной вытяжки,acid_base,кислотно-основные,5024,267,97.4,100.0,81.0,46.8,87.6,pH,6.42,5.4,7.7,3947
soil_organic_carbon,soil organic carbon,органический углерод почвы,organic,органическое вещество и углерод,4761,315,67.9,100.0,97.9,36.3,72.9,g/kg,15.8,5.8,40.0,3221
ph_unspecified,pH (method unspecified),pH (экстрагент не указан автором),acid_base,кислотно-основные,4688,314,86.5,100.0,72.1,22.4,54.8,pH,6.7,5.1,7.8,2844
magnesium_ion,magnesium ion Mg2+,ион магния Mg2+ (метод не указан),soil_solution,почвенный раствор,3952,169,0.7,100.0,99.6,49.5,85.2,%,86.0,73.0,88.0,27
calcium_ion,calcium ion Ca2+,ион кальция Ca2+ (метод не указан),soil_solution,почвенный раствор,3690,160,6.3,100.0,99.7,51.2,84.4,%,23.09,11.41,55.78,231
sodium_ion,sodium ion Na+,ион натрия Na+ (метод не указан),soil_solution,почвенный раствор,3337,114,2.1,100.0,99.7,40.6,87.1,%,1.17,0.2,7.0,70
iron,iron,железо,microelement,микроэлементы,3103,128,3.3,49.6,99.1,23.9,80.8,mg/kg,136.0,2.73,247.0,56
physical_clay,physical clay,физическая глина,particle_size,гранулометрический состав,3035,185,15.8,100.0,99.4,54.4,87.3,%,34.0,24.3,47.2,480
iron_oxide_fe2o3,iron oxide Fe2O3,оксид железа (Fe₂O₃),geochemical,геохимические свойства,2665,91,31.9,100.0,99.7,40.5,96.0,%,0.27,0.03,1.23,849
clay,clay,глина,particle_size,гранулометрический состав,2626,153,46.8,100.0,93.0,38.7,66.6,%,22.0,9.0,33.0,1132
boron,boron,бор,microelement,микроэлементы,2484,60,0.3,29.7,83.8,17.2,87.3,,,,,0
fine_fraction_lt_0_001mm,fine fraction <0.001 mm,"илистая фракция (<0,001 мм)",particle_size,гранулометрический состав,2446,149,14.4,100.0,99.7,58.2,86.0,%,17.0,8.6,26.0,353
carbon_nitrogen_ratio,C:N ratio,отношение C:N,organic,органическое вещество и углерод,2212,149,0.2,100.0,99.2,33.6,78.7,%,2.84,2.42,20.93,5
electrical_conductivity,electrical conductivity,электропроводность,salinity,засоление и минерализация,2142,56,7.2,100.0,98.5,6.9,8.9,dS/m,1.09,0.5417,3.1,154
calcium,calcium,кальций,exchange,обменный комплекс,2077,101,0.7,63.9,96.8,17.9,73.0,,,,,0
available_phosphorus,available phosphorus,подвижный фосфор,macronutrient,макроэлементы,2028,125,10.6,100.0,99.5,31.3,93.3,mg/kg,67.0,39.41,184.0,214
zinc,zinc,цинк,microelement,микроэлементы,1927,119,2.6,88.2,99.5,15.9,74.9,mg/kg,4.56,2.34,37.0,50
copper,copper,медь,microelement,микроэлементы,1842,119,4.3,91.2,97.7,14.7,75.2,mg/kg,55.0,36.0,85.16,64
fine_silt,fine silt 0.005-0.001 mm,мелкая пыль (0.005–0.001 мм),particle_size,гранулометрический состав,1774,101,0.0,100.0,100.0,67.7,90.2,,,,,0
medium_silt,medium silt 0.01-0.005 mm,средняя пыль (0.01–0.005 мм),particle_size,гранулометрический состав,1770,103,0.0,100.0,100.0,66.6,89.6,,,,,0
fine_sand,fine sand,мелкий песок,particle_size,гранулометрический состав,1730,106,1.4,100.0,100.0,65.8,90.8,%,1.0,0.0,13.0,25
potassium_ion,potassium ion K+,ион калия K+ (метод не указан),soil_solution,почвенный раствор,1684,74,3.0,100.0,99.3,44.1,81.4,mg/kg,1.243,0.51,5.4,45
cation_exchange_capacity,cation exchange capacity,ёмкость катионного обмена,exchange,обменный комплекс,1671,72,0.3,100.0,99.8,25.6,87.0,cmolc/kg,17.8,1.0,29.93,5
coarse_silt,coarse silt 0.05-0.01 mm,крупная пыль (0.05–0.01 мм),particle_size,гранулометрический состав,1641,101,0.6,100.0,100.0,66.8,90.1,%,32.62,31.9,35.84,10
coarse_sand,coarse sand,крупный песок,particle_size,гранулометрический состав,1594,98,66.0,100.0,99.5,67.5,90.6,%,2.0,0.1,10.0,1052
silicon_dioxide,silicon dioxide,диоксид кремния (SiO₂),geochemical,геохимические свойства,1547,61,12.2,100.0,99.8,46.8,92.4,%,51.0,0.4,68.66,189
magnesium,magnesium,магний,exchange,обменный комплекс,1507,81,0.0,81.8,98.6,22.7,67.5,,,,,0
aluminum_oxide_al2o3,aluminum oxide Al2O3,оксид алюминия (Al₂O₃),geochemical,геохимические свойства,1488,74,3.3,100.0,99.3,45.6,68.3,%,0.96,0.47,1.73,49
manganese,manganese,марганец,microelement,микроэлементы,1389,89,4.8,94.5,98.6,12.5,67.6,mg/kg,293.0,171.7,525.0,66
silt,silt,пылеватая фракция,particle_size,гранулометрический состав,1374,97,28.7,100.0,97.5,23.0,53.1,%,22.0,2.72,32.2,393
available_potassium,available potassium,подвижный калий,macronutrient,макроэлементы,1365,97,2.7,100.0,99.0,40.7,92.8,mg/kg,160.0,71.5,295.1,37
lead,lead,свинец,contaminant,потенциальные загрязнители,1325,90,1.7,93.1,97.4,15.6,83.6,mg/kg,42.0,23.0,96.0,15
nickel,nickel,никель,microelement,микроэлементы,1321,84,3.9,89.0,97.4,18.5,77.8,mg/kg,158.0,151.0,161.0,7
