site_id,country_code,site_name,region,latitude,longitude,spatial_precision_m,spatial_confidence,geometry_source,coordinate_evidence,coordinate_artifact_types,document_ids,dois,titles,publication_years,corpora,staged_measurement_count
site:pochvovedenie:Pochved1901003Golubtsov:text:raw:ru_abbr:dms:0,RU,"Reported field object 52.850000, 103.333333",,52.85,103.33333333333333,,reported,"Explicit author-reported russian_abbreviated_dms coordinate; country validated; audited direct_labeled_field_object. Field-object location, not an automatic row-level measurement.","{""candidate_id"": ""pochvovedenie:Pochved1901003Golubtsov:text:raw:ru_abbr:dms:0"", ""audit_category"": ""direct_labeled_field_object"", ""source_context"": ""лучшим образом они прослеживаются под пологом лесного масси- ва, произрастающего к востоку и юго-востоку от с. Холмушино. Карбонатные ризолиты обнаружены в песча- ных эоловых отложениях, слагающих дюну, стро- ение которой вскрыто карьером (52°51′ с. ш., 103°20′ в. д., абсолютная высота 428 м). Это одна из наиболее представительных форм эолового ре- льефа на данном участке, в плане она имеет фор- му неправильной дуги, ориентированной в севе- ро-западном направлении. Высота ее достигает 5–6 м, длина дуги по гребню колеблется в преде- лах 120–150 м. Детально ее строение и состав опи-""}",text,pochvovedenie:Pochved1901003Golubtsov,,КАРБОНАТНЫЕ РИЗОЛИТЫ В ДЮННЫХ ПЕСКАХ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1901010Maslov:text:raw:ru_abbr:dms:0,RU,"Reported study point 66.416667, 67.300000",,66.41666666666667,67.3,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"органического уг- лерода в тундровых почвах, загрязненных нефтью в результате аварийного разлива 1994 г. и рекуль- тивированных разными способами. МАТЕРИАЛЫ И МЕТОДЫ Исследования проводили на территории участ- ка Возей–Головные сооружения (66°25′ с. ш., 67°18′ в. д., Республика Коми), на котором в 1994 г. произошла авария на магистральном трубопро- воде с выбросом в окружающую среду от 60 до 270 тыс. т сырой нефти [16]. Работы по рекульти- вации данной территории проводились разными УДК 631.427.4:631.461.63 БИОЛОГИЯ ПОЧВ  ПОЧВОВЕДЕНИЕ   № 1   2019 МИКРОБИОЛОГИЧЕСКАЯ ТРАНСФОРМАЦИЯ",text,pochvovedenie:Pochved1901010Maslov,,МИКРОБИОЛОГИЧЕСКАЯ ТРАНСФОРМАЦИЯ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1901011Pampura:text:raw:ru_abbr:dms:0,RU,"Reported study point 49.000000, 44.183333",,49.0,44.18333333333333,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"ые почвы, ото- Рис. 1. Раскопки одиночного кургана Перекопка 5.  46 ПОЧВОВЕДЕНИЕ   № 1   2019 ПАМПУРА и др. бранные на разном расстоянии (2, 5, 10 м) от авто- трассы Москва–Волгоград M6 в 39 км к С–СВ от Волгограда, координаты точки отбора 49°00′ с. ш., 44°11′ в. д. Образцы почв были отобраны изо всех генети- ческих горизонтов методом бороздовой пробы по всей вертикальной протяженности горизонта. Почвы были высушены при 40°С, просеяны через нейлоновое сито с диаметром отверстий 1 мм. Проведены стандартные химические анализы (определение гранулометрического состава, со- держания г",text,pochvovedenie:Pochved1901011Pampura,,ПОГРЕБЕННЫЕ ПАЛЕОПОЧВЫ КАК ФОНОВЫЕ ОБЪЕКТЫ,2019,pochvovedenie,3
site:pochvovedenie:Pochved1901016Vasilevich:text:raw:ru_abbr:dms:0,RU,"Reported study point 67.050000, 62.933333",,67.05,62.93333333333333,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"ен- ная пониженная равнина. Разрез заложен на буг- ре, диаметр 12 м. В растительном покрове водя- ника, брусника, голубика, морошка, политрихум, карликовая береза по краям бугра. Разр. 2014-2 – почва оголенных торфяных пя- тен. Координаты: 67°03′ с. ш., 62°56′ в. д. Пятно без растительности диметром 5 м на восточной части плоского торфяного бугра. На поверхно- сти криогенное растрескивание и пучение верх- него горизонта, фрагменты коры карликовой бе- резы. Край пятна покрыт лишайниками и зеле- ными мхами. Начало торфонакопления приходится на ран- ний атлантический период (табл. 2",text,pochvovedenie:Pochved1901016Vasilevich,,МОЛЕКУЛЯРНАЯ СТРУКТУРА ГУМУСОВЫХ ВЕЩЕСТВ,2019,pochvovedenie,9
site:pochvovedenie:Pochved1902002Arkhangelskaya:text:raw:degree_decimal_minutes_reversed_cardinal:0,RU,"Reported field object 51.183333, 37.650000",,51.18333333333333,37.65,,reported,"Explicit author-reported degree_decimal_minutes_reversed_cardinal coordinate; country validated; audited verified_direct_soil_study_coordinate. Field-object location, not an automatic row-level measurement.","{""candidate_id"": ""pochvovedenie:Pochved1902002Arkhangelskaya:text:raw:degree_decimal_minutes_reversed_cardinal:0"", ""audit_category"": ""verified_direct_soil_study_coordinate"", ""source_context"": "" под черным паром, в профи- ле которых корневое водопотребление отсутствует. Наши данные подтверждают эту закономерность. В табл. 1 приведены результаты измерений влаж- ности черноземов 16–17 июля 2013 г. на участке “Ямская степь” заповедника “Белогорье” (Белго- родская область, 37°39′ E, 51°11′ N) и на примыка- ющей к заповедному участку пашне, которая в те- чение вегетационного сезона 2013 г. находилась под черным паром. Расстояние между разрезами под косимой заповедной степью и парующей пашней составляло 10–12 м; оба разреза были расположены в одинаковых литолого-геоморфо- логических условиях. В 2013 г. май и июнь были дождливыми: по данным ближайшей к Ямской степи с""}",text,pochvovedenie:Pochved1902002Arkhangelskaya,,МОДЕЛИРОВАНИЕ ВОДНОГО РЕЖИМА АГРОЧЕРНОЗЕМОВ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1902004Dubovik:text:raw:ru_abbr:dms:0,RU,"Reported study point 51.516667, 36.116667",,51.516666666666666,36.11666666666667,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"разца, средняя масса образца 3.5–4 кг (189 образцов), мощность Рис. 1. Местоположение точек проведения исследо- ваний на опытном поле ВНИИЗиЗПЭ, Курская обл., Медвенский район в системе координат UTM: 37V 5724729 301017–37V 5741269 318990 (51°31′ N, 36°07′ E). 5 740 000 5 738 000 5 736 000 5 734 000 5 732 000 5 730 000 5 728 000 5 726 000 302 000 306 000 310 000 314 000 318 000 304 000 308 000 312 000 316 000 224 222 220 218 216 214 212 210 208 206 204 202 200 198 196 194 192 190 188 N S N E h, м 208 208 218 208 208  ПОЧВОВЕДЕНИЕ   № 2   2019 ВЗАИМОСВЯЗЬ СОДЕРЖАНИЯ УГЛЕРО",text,pochvovedenie:Pochved1902004Dubovik,,ВЗАИМОСВЯЗЬ СОДЕРЖАНИЯ УГЛЕРОДА,2019,pochvovedenie,7
site:pochvovedenie:Pochved1902008Kogut:text:raw:ru_abbr:dms:0,RU,"Reported study point 51.566667, 36.100000",,51.56666666666667,36.1,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"астных видов использования: степь (Центрально-Черноземный государствен- ный биосферный заповедник “Стрелецкая степь”, Курская область) и длительный (52 года) чистый бессменный пар без удобрений (Курский НИИ агропромышленного производства) (51°34′ N, 36°06′ E). Участок опыта с бессменным паровани- ем типичного чернозема (15 × 200 м) заложен в 1964 г., а в 1998 г. видоизменен: 2/3 площади опы- та оставлено под бессменное парование почвы, а 1/3 – отведено под залежь [5]. Территория исследованных участков типична для Центрально-Черноземного региона. Климат умеренно-холодный. ",text,pochvovedenie:Pochved1902008Kogut,,КОМПОНЕНТНЫЙ СОСТАВ ОРГАНИЧЕСКОГО ВЕЩЕСТВА,2019,pochvovedenie,0
site:pochvovedenie:Pochved1902012Romanov:text:raw:dms:l:0,RU,"Reported study point 52.114728, 79.171278",,52.11472777777778,79.17127777777779,,reported,Explicit decimal coordinates in source; country checked against pinned Natural Earth boundary,"климатическим услови- ям вся территория относится к засушливой зоне с годовой суммой осадков 230–260 мм. В качестве объекта исследования был выбран высохший уча- сток бессточного содового озера Петухово с коор- динатами 52°6′53.02″ N, 79°10′16.60″ E. Отбор об- разцов засоленного грунта производили в течение трех суток после выпадения атмосферных осадков. Во время полевых измерений атмосферные осадки отсутствовали. На исследуемом участке площадью 2 × 2 м в те- чение 34 ч с периодичностью 1 ч отбирали обра",text,pochvovedenie:Pochved1902012Romanov,,ВЛИЯНИЕ ВЛАЖНОСТИ И ТЕМПЕРАТУРЫ НА ДИЭЛЕКТРИЧЕСКИЕ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1902013Stavrova:text:raw:ru_abbr:dms:0,RU,"Reported study point 61.833333, 57.716667",,61.833333333333336,57.71666666666667,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"олуострова в двух районах: в среднем тече- нии р. Ливы (67°49′–67°51′ N, 31°17′–31°22′ E) и в окрестностях оз. Лебяжьего (68°08′–68°09′ N, 33°55′–33°57′ E) и в северном Предуралье на тер- ритории Печоро-Илычского биосферного запо- ведника (61°50′ N, 57°43′ E). На территории Кольского полуострова было за- ложено 12 постоянных пробных площадей (ПП) в сообществах, сформировавшихся после пожаров давностью 8 (1ПП), 52–54 (3 ПП), 78–85 (2 ПП), 146–155 (2 ПП), 200–220 (3 ПП) и 400 (2 ПП) лет в местообитаниях еловых и елово-сосновых ку- старничково-зеленомошных лесов. Сходство ге",text,pochvovedenie:Pochved1902013Stavrova,,ДОЛГОВРЕМЕННЫЕ ПОСЛЕПОЖАРНЫЕ ИЗМЕНЕНИЯ,2019,pochvovedenie,0
site:pochvovedenie:Pochved1903009Shamrikova:text:raw:ru_abbr:dms:0,RU,"Reported study point 68.330278, 59.518056",,68.33027777777778,59.518055555555556,,reported,Explicit degree-minute/hemisphere coordinates; Natural Earth country check; sampling/profile context in source.,"или зна- чительную пестроту почвенного покрова. На ис- следуемой территории выделено пять наиболее характерных для данной местности участков, ко- торые по уменьшению степени засоленности морскими водами образуют следующий ряд: – участок I (68°19′49.0″ с. ш., 59°31′05″ в. д.): марши низкого уровня; моноценоз Carex sub- spathacea (осока обертковидная); почва маршевая примитивная гиттиевая иловато-легкосуглини- стая (Tidalic Fluvisols (Loamic, Protosalic)), далее маршевая примитивная гиттиевая почва) со строением профиля: W(0–3)–ACao,h(3–24)– ACao,g(24–67)–СG(67–89)–СG┴(89–97), затап- ливае",text,pochvovedenie:Pochved1903009Shamrikova,,РАСПРЕДЕЛЕНИЕ УГЛЕРОДА И АЗОТА,2019,pochvovedenie,0
