a,b,n,pearson_r,ci_low,ci_high,p_pearson,spearman_rho,p_spearman,q_value,significant_fdr5
ph_h2o,organic_matter,1094,-0.2345,-0.2897,-0.1777,0.0,-0.2028,0.0,0.0,True
ph_h2o,soil_organic_carbon,947,-0.1462,-0.2079,-0.0832,0.0,-0.0781,0.0162,0.0,True
organic_matter,iron_oxide_fe2o3,476,-0.1807,-0.2662,-0.0923,0.0001,-0.1793,0.0001,0.0003,True
ph_unspecified,organic_matter,316,-0.2841,-0.3825,-0.1794,0.0,-0.289,0.0,0.0,True
ph_h2o,base_saturation,312,0.7306,0.6743,0.7785,0.0,0.7482,0.0,0.0,True
ph_h2o,fine_fraction_lt_0_001mm,238,0.4709,0.3656,0.5642,0.0,0.4748,0.0,0.0,True
clay,silt,203,0.3973,0.2746,0.5073,0.0,0.6069,0.0,0.0,True
ph_unspecified,soil_organic_carbon,186,0.1532,0.0096,0.2907,0.0368,-0.0032,0.9656,0.065,False
sand,silt,182,-0.1698,-0.3077,-0.025,0.0219,-0.1722,0.0201,0.0401,True
clay,sand,179,-0.4472,-0.5574,-0.3217,0.0,-0.5596,0.0,0.0,True
soil_organic_carbon,clay,178,0.2472,0.1039,0.3804,0.0009,0.0408,0.5891,0.0022,True
ph_h2o,clay,176,0.0322,-0.1163,0.1792,0.6716,0.0218,0.7742,0.7416,False
organic_matter,base_saturation,172,-0.231,-0.3679,-0.0842,0.0023,-0.0363,0.6363,0.0051,True
organic_matter,physical_clay,168,-0.036,-0.1864,0.116,0.6428,-0.0083,0.9149,0.7249,False
organic_matter,fine_fraction_lt_0_001mm,167,-0.1823,-0.3252,-0.0313,0.0184,-0.1184,0.1274,0.0348,True
ph_h2o,physical_clay,166,0.1346,-0.0181,0.2812,0.0838,0.0702,0.3688,0.1336,False
ph_kcl,organic_matter,160,0.2984,0.1502,0.4335,0.0001,0.1963,0.0129,0.0004,True
ph_h2o,iron_oxide_fe2o3,151,0.3832,0.238,0.5116,0.0,0.4741,0.0,0.0,True
ph_h2o,carbonate_equivalent,141,0.4224,0.2764,0.5494,0.0,0.5903,0.0,0.0,True
soil_organic_carbon,sand,139,0.0282,-0.139,0.1938,0.7421,0.1248,0.1433,0.7941,False
ph_kcl,soil_organic_carbon,139,0.2855,0.125,0.4315,0.0007,0.5128,0.0,0.0017,True
organic_matter,clay,129,0.1704,-0.0025,0.3335,0.0535,0.1293,0.1441,0.0915,False
ph_h2o,ph_kcl,114,0.9089,0.8705,0.9363,0.0,0.9009,0.0,0.0,True
ph_unspecified,sand,114,0.1774,-0.0068,0.3499,0.059,0.1914,0.0413,0.0978,False
organic_matter,carbonate_equivalent,109,0.3504,0.1737,0.5052,0.0002,0.0256,0.7915,0.0006,True
ph_unspecified,electrical_conductivity,107,0.1056,-0.086,0.2896,0.2792,0.3983,0.0,0.3699,False
organic_matter,available_phosphorus,99,0.002,-0.1955,0.1994,0.9841,0.4392,0.0,0.9841,False
clay,carbonate_equivalent,94,0.3134,0.1183,0.4852,0.0021,0.1944,0.0604,0.0048,True
ph_kcl,available_phosphorus,92,0.2832,0.0832,0.4612,0.0062,0.2872,0.0055,0.0127,True
ph_unspecified,carbonate_equivalent,89,0.1823,-0.027,0.3763,0.0872,0.3035,0.0038,0.1336,False
sand,carbonate_equivalent,86,-0.3857,-0.5525,-0.1893,0.0002,-0.408,0.0001,0.0008,True
ph_unspecified,clay,83,-0.1051,-0.3137,0.1132,0.3443,-0.1289,0.2454,0.4345,False
ph_h2o,sand,81,-0.0346,-0.251,0.1852,0.7594,-0.0666,0.5544,0.7941,False
silt,carbonate_equivalent,80,-0.0923,-0.3058,0.1301,0.4156,-0.1624,0.1502,0.5123,False
soil_organic_carbon,iron_oxide_fe2o3,78,0.0711,-0.1539,0.2891,0.5362,-0.044,0.7022,0.6178,False
clay,iron_oxide_fe2o3,70,0.6689,0.5148,0.7811,0.0,0.743,0.0,0.0,True
fine_fraction_lt_0_001mm,carbonate_equivalent,70,0.4137,0.198,0.5912,0.0004,0.434,0.0002,0.001,True
organic_matter,sand,60,0.2027,-0.054,0.4343,0.1204,0.172,0.1888,0.1773,False
ph_unspecified,silt,60,0.1762,-0.0814,0.4117,0.1782,0.13,0.3223,0.2485,False
soil_organic_carbon,available_phosphorus,55,-0.1565,-0.405,0.1135,0.2538,-0.2402,0.0773,0.3449,False
ph_kcl,physical_clay,51,-0.3366,-0.5602,-0.0673,0.0157,-0.3759,0.0066,0.0309,True
fine_fraction_lt_0_001mm,base_saturation,50,-0.6647,-0.7958,-0.4741,0.0,-0.423,0.0022,0.0,True
ph_unspecified,physical_clay,49,-0.1013,-0.3719,0.1851,0.4884,-0.2521,0.0805,0.5883,False
soil_organic_carbon,physical_clay,43,-0.0471,-0.3426,0.2569,0.7642,-0.0029,0.9852,0.7941,False
ph_kcl,carbonate_equivalent,40,0.6693,0.452,0.8116,0.0,0.6427,0.0,0.0,True
soil_organic_carbon,organic_matter,40,0.2731,-0.042,0.5388,0.0882,0.7184,0.0,0.1336,False
soil_organic_carbon,carbonate_equivalent,40,-0.1033,-0.4019,0.2151,0.5257,0.1125,0.4897,0.6178,False
clay,electrical_conductivity,37,-0.169,-0.4674,0.164,0.3174,-0.3364,0.0418,0.4103,False
organic_matter,silt,37,0.2398,-0.0914,0.5231,0.1529,0.2039,0.226,0.2191,False
ph_h2o,ph_unspecified,33,-0.0315,-0.3708,0.3152,0.8616,0.0121,0.9469,0.8782,False
organic_matter,electrical_conductivity,32,0.5325,0.2257,0.7432,0.0017,0.4513,0.0095,0.0041,True
ph_h2o,available_phosphorus,30,-0.5317,-0.7486,-0.212,0.0025,-0.2231,0.2361,0.0053,True
physical_clay,carbonate_equivalent,30,0.6088,0.3183,0.7947,0.0004,0.681,0.0,0.001,True
