property_id,property,category,observations,documents,header_trusted_pct,value_plausible_pct,unit_proven_pct,depth_pct,spatial_pct
organic_matter,organic matter/humus,organic,5717,304,100.0,98.3,61.3,36.0,76.6
ph_h2o,pH in water,acid_base,5024,267,100.0,81.0,97.4,46.8,86.2
soil_organic_carbon,soil organic carbon,organic,4761,315,100.0,97.9,67.9,36.3,70.2
ph_unspecified,pH (method unspecified),acid_base,4688,314,100.0,72.1,86.5,22.4,50.1
magnesium_ion,magnesium ion Mg2+,soil_solution,3952,169,100.0,99.6,0.7,49.5,84.4
calcium_ion,calcium ion Ca2+,soil_solution,3690,160,100.0,99.7,6.3,51.2,82.9
sodium_ion,sodium ion Na+,soil_solution,3337,114,100.0,99.7,2.1,40.6,84.7
iron,iron,microelement,3103,128,49.6,99.1,3.3,23.9,77.0
physical_clay,physical clay,particle_size,3003,182,100.0,99.4,15.3,55.0,87.1
iron_oxide_fe2o3,iron oxide Fe2O3,geochemical,2665,91,100.0,99.7,31.9,40.5,93.9
clay,clay,particle_size,2626,153,100.0,93.0,46.8,38.7,61.4
boron,boron,microelement,2484,60,29.7,83.8,0.3,17.2,37.9
fine_fraction_lt_0_001mm,fine fraction <0.001 mm,particle_size,2446,149,100.0,99.7,14.4,58.2,85.9
carbon_nitrogen_ratio,C:N ratio,organic,2212,149,100.0,99.2,0.2,33.6,76.6
electrical_conductivity,electrical conductivity,salinity,2142,56,100.0,98.5,7.2,6.9,6.6
calcium,calcium,exchange,2077,101,63.9,96.8,0.7,17.9,66.6
available_phosphorus,available phosphorus,macronutrient,1991,124,100.0,99.5,10.7,31.8,89.2
zinc,zinc,microelement,1927,119,88.2,99.5,2.6,15.9,73.6
copper,copper,microelement,1842,119,91.2,97.7,4.3,14.7,74.8
fine_silt,fine silt 0.005-0.001 mm,particle_size,1774,101,100.0,100.0,0.0,67.7,90.2
medium_silt,medium silt 0.01-0.005 mm,particle_size,1770,103,100.0,100.0,0.0,66.6,89.6
fine_sand,fine sand,particle_size,1730,106,100.0,100.0,1.4,65.8,89.9
potassium_ion,potassium ion K+,soil_solution,1684,74,100.0,99.3,3.0,44.1,79.6
cation_exchange_capacity,cation exchange capacity,exchange,1671,72,100.0,99.8,0.3,25.6,82.6
coarse_silt,coarse silt 0.05-0.01 mm,particle_size,1641,101,100.0,100.0,0.6,66.8,90.1
coarse_sand,coarse sand,particle_size,1594,98,100.0,99.5,66.0,67.5,89.6
silicon_dioxide,silicon dioxide,geochemical,1547,61,100.0,99.8,12.2,46.8,87.6
total_phosphorus,total phosphorus,macronutrient,1525,55,100.0,99.7,15.6,16.7,85.0
magnesium,magnesium,exchange,1507,81,81.8,98.6,0.0,22.7,60.3
aluminum_oxide_al2o3,aluminum oxide Al2O3,geochemical,1488,74,100.0,99.3,3.3,45.6,63.2
