property_id,property,property_ru,n_observations,n_documents,log_transformed,slope_per_degree,ci_low,ci_high,p_value,icc_document,q_value,significant_fdr5
horizon_thickness,soil horizon thickness,мощность горизонта,1104,62,False,-16.57733,-44.80863,11.65396,0.24978,0.46879,0.72128,False
physical_clay,physical clay,физическая глина,714,51,False,-1.04439,-1.546,-0.54279,4e-05,0.50402,0.00076,True
clay,clay,глина,707,42,False,-1.03385,-1.59079,-0.47692,0.00027,0.52177,0.0035,True
fine_sand,fine sand,мелкий песок,247,17,False,-0.64456,-1.81902,0.52989,0.28208,0.74904,0.72128,False
fine_fraction_lt_0_001mm,fine fraction <0.001 mm,"илистая фракция (<0,001 мм)",297,18,False,-0.24634,-0.80782,0.31514,0.38984,0.51363,0.73637,False
carbonate_equivalent,carbonate equivalent (CaCO3),карбонатный эквивалент (CaCO₃),272,16,True,-0.24386,-0.42988,-0.05784,0.01019,0.46699,0.06359,False
exchangeable_calcium,exchangeable calcium,обменный кальций,222,22,False,-0.14618,-0.93428,0.64191,0.7162,0.65738,0.89088,False
ph_unspecified,pH (method unspecified),pH (экстрагент не указан автором),1795,170,False,-0.09412,-0.13172,-0.05653,0.0,0.6783,2e-05,True
potassium_oxide_k2o,potassium oxide K2O,оксид калия (K₂O),791,80,True,-0.08975,-0.15415,-0.02535,0.0063,0.65076,0.04592,True
lead,lead,свинец,587,61,True,-0.08931,-0.1839,0.00527,0.06421,0.42175,0.29772,False
ph_h2o,pH in water,pH водной вытяжки,2881,180,False,-0.08572,-0.1115,-0.05993,0.0,0.6222,0.0,True
phosphorus_pentoxide,phosphorus pentoxide (P2O5),пентаоксид фосфора (P₂O₅),857,52,True,-0.07213,-0.2118,0.06754,0.31147,0.75486,0.72128,False
aluminum_oxide_al2o3,aluminum oxide Al2O3,оксид алюминия (Al₂O₃),496,37,True,-0.05429,-0.15783,0.04926,0.30416,0.72049,0.72128,False
sodium_ion,sodium ion Na+,ион натрия Na+ (метод не указан),386,33,True,-0.04797,-0.18152,0.08557,0.48138,0.58383,0.77098,False
chromium,chromium,хром,277,31,True,-0.04534,-0.14185,0.05118,0.35722,0.45461,0.72128,False
magnesium_ion,magnesium ion Mg2+,ион магния Mg2+ (метод не указан),626,50,True,-0.03766,-0.11792,0.04259,0.35766,0.39695,0.72128,False
total_nitrogen,total nitrogen,общий азот,68,10,True,-0.02628,-0.20344,0.15087,0.77124,0.90144,0.9365,False
organic_matter,organic matter/humus,органическое вещество (гумус),2640,154,True,-0.01906,-0.04194,0.00381,0.10233,0.42078,0.40146,False
porosity,total porosity,общая пористость,363,27,False,-0.01734,-1.76537,1.73069,0.98448,0.77291,0.99267,False
